db.name,num
USGS Earthquake Hazards Program,378
The Paleobiology Database,210
DRYAD,207
PANGAEA,186
Survey of India,64
Data Sharing Infrastructure of Earth System Science,49
LinkedEarth Wiki,40
National Geothermal Data System,40
GEOSS Portal,35
System for Earth Sample Registration,29
KNB Data Repository,24
GEOFON,24
OpenTopography,22
International Ocean Discovery Program,21
Southern California Earthquake Center,20
PetDB,19
Polar Geospatial Center,19
Southern California Earthquake Data Center,15
EIDA,14
AHEAD,14
Neotoma Paleoecology Database,12
EarthChem Library,12
MorphoBank,11
DesignSafe-CI,10
U.S. Geological Survey,8
SOFIA,6
The USGS Land Cover Institute,4
World Glacier Monitoring Service,4
British Antarctic Survey,3
GEOROC,3
Lamont-Doherty Core Repository,2
"WDC for geophysics, Beijing",2
Data Commons,1
National Data Repository,1
Coupled Model Intercomparison Project,1
The Global Heat Flow Database of the IHFC,1
National Mine Map Repository,1
Rutgers Geological and Water Survey Core Repository,1
